#                  name    selected    formation_energy
    SCEL8_2_4_1_0_1_1/17          1         -0.01371721
    SCEL8_2_4_1_0_1_1/18          1         -0.05611927
    SCEL8_2_4_1_0_1_1/19          1         -0.03451791
    SCEL8_2_4_1_0_1_1/20          1         -0.02801078
    SCEL8_2_4_1_0_1_1/21          1         -0.01880621
    SCEL8_2_4_1_0_1_1/22          1         -0.01164869
    SCEL8_2_4_1_0_1_1/23          1         -0.00869927
    SCEL8_2_4_1_1_0_1/0           1         -0.06338683
    SCEL8_2_4_1_1_0_1/1           1         -0.10702483
    SCEL8_2_4_1_1_0_1/2           1         -0.08166792
    SCEL8_2_4_1_1_0_1/3           1         -0.09381977
    SCEL8_2_4_1_1_0_1/4           1         -0.11216177
    SCEL8_2_4_1_1_0_1/5           1         -0.09809821
    SCEL8_2_4_1_1_0_1/6           1         -0.08494556
    SCEL8_2_4_1_1_0_1/7           1         -0.04280052
    SCEL8_2_4_1_1_0_1/8           1         -0.04200796
    SCEL8_2_4_1_1_0_1/9           1         -0.08379312
    SCEL8_2_4_1_1_0_1/10          1         -0.04196451
    SCEL8_2_4_1_1_0_1/11          1         -0.04038423
    SCEL8_2_4_1_1_0_1/12          1         -0.02777255
    SCEL8_2_4_1_1_0_1/13          1         -0.01687260
    SCEL8_2_4_1_1_0_1/14          1         0.00156274
    SCEL8_2_4_1_1_0_1/15          1         -0.04693550
    SCEL8_2_4_1_1_0_1/16          1         -0.04083923
    SCEL8_2_4_1_1_0_1/17          1         -0.00323808
    SCEL8_2_4_1_1_1_0/0           1         -0.03753279
    SCEL8_2_4_1_1_1_0/1           1         -0.07771330
    SCEL8_2_4_1_1_1_0/2           1         -0.08213347
    SCEL8_2_4_1_1_1_0/3           1         -0.01290979
    SCEL8_2_4_1_1_1_0/4           1         -0.02794640
    SCEL8_2_4_1_1_1_0/5           1         -0.02825587
    SCEL8_2_4_1_1_1_0/6           1         -0.01362998
    SCEL8_2_4_1_1_1_0/7           1         -0.04357235
    SCEL8_2_4_1_1_1_0/8           1         -0.04485206
    SCEL8_2_4_1_1_1_0/9           1         -0.03258628
    SCEL8_2_4_1_1_1_0/10          1         -0.01173174
    SCEL8_2_4_1_1_1_0/11          1         -0.01724408
    SCEL8_2_4_1_1_1_0/12          1         -0.06268722
    SCEL8_4_1_2_0_0_0/0           1         -0.05326409
    SCEL8_4_1_2_0_0_0/1           1         -0.06682537
    SCEL8_4_1_2_0_0_0/2           1         -0.08624491
    SCEL8_4_1_2_0_0_0/3           1         -0.05056694
    SCEL8_4_1_2_0_0_0/4           1         -0.07350224
    SCEL8_4_1_2_0_0_0/5           1         -0.07483147
    SCEL8_4_1_2_0_0_0/6           1         -0.05317861
    SCEL8_4_1_2_0_0_0/7           1         -0.06521065
    SCEL8_4_1_2_0_0_0/8           1         -0.02530000
    SCEL8_4_1_2_0_0_0/9           1         -0.02804113
    SCEL8_4_1_2_0_0_0/10          1         -0.04798186
    SCEL8_4_1_2_0_0_0/11          1         -0.03415006
    SCEL8_4_1_2_0_0_0/12          1         -0.05455545
    SCEL8_4_1_2_0_0_0/13          1         -0.03011960
    SCEL8_4_1_2_0_0_0/14          1         -0.00923630
    SCEL8_4_1_2_0_0_0/15          1         -0.02380326
    SCEL8_4_1_2_0_0_0/16          1         -0.00380523
    SCEL8_4_1_2_0_0_0/17          1         -0.04754536
    SCEL8_4_1_2_0_0_0/18          1         -0.04139562
    SCEL8_4_1_2_0_0_0/19          1         -0.02006071
    SCEL8_4_1_2_0_0_0/20          1         -0.01180647
    SCEL8_4_1_2_0_0_1/0           1         -0.05658378
    SCEL8_4_1_2_0_0_1/1           1         -0.10498856
    SCEL8_4_1_2_0_0_1/2           1         -0.08527170
    SCEL8_4_1_2_0_0_1/3           1         -0.03713390
    SCEL8_4_1_2_0_0_1/4           1         -0.10431132
    SCEL8_4_1_2_0_0_1/5           1         -0.05447037
    SCEL8_4_1_2_0_0_1/6           1         -0.01912399
    SCEL8_4_1_2_0_0_1/7           1         -0.11439346
    SCEL8_4_1_2_0_0_1/8           1         -0.05352966
    SCEL8_4_1_2_0_0_1/9           1         -0.05011262
    SCEL8_4_1_2_0_0_1/10          1         -0.02318776
    SCEL8_4_1_2_0_0_1/11          1         -0.01325301
    SCEL8_4_1_2_0_0_1/12          1         -0.01565939
    SCEL8_4_1_2_0_0_1/13          1         -0.06557093
    SCEL8_4_1_2_0_0_1/14          1         -0.10018092
    SCEL8_4_1_2_0_0_1/15          1         -0.06424761
    SCEL8_4_1_2_0_1_0/0           1         -0.04477248
    SCEL8_4_1_2_0_1_0/1           1         -0.04176495
    SCEL8_4_1_2_0_1_0/2           1         -0.04961916
    SCEL8_4_1_2_0_1_0/3           1         -0.01364620
    SCEL8_4_1_2_0_1_0/4           1         -0.07411234
    SCEL8_4_1_2_0_1_0/5           1         -0.04860316
    SCEL8_4_1_2_0_1_0/6           1         -0.01694072
    SCEL8_4_1_2_0_1_0/7           1         -0.08379402
    SCEL8_4_1_2_0_1_0/8           1         -0.07719967
    SCEL8_4_1_2_0_1_0/9           1         -0.04686177
    SCEL8_4_1_2_0_1_0/10          1         -0.05313861
    SCEL8_4_1_2_0_1_0/11          1         -0.02800354
    SCEL8_4_1_2_0_1_0/12          1         -0.08415064
    SCEL8_4_1_2_0_1_0/13          1         -0.04033687
    SCEL8_4_1_2_0_1_0/14          1         -0.05218589
    SCEL8_4_1_2_0_1_0/15          1         -0.02227086
    SCEL8_4_1_2_0_1_0/16          1         -0.02180386
    SCEL8_4_1_2_0_1_0/17          1         -0.01436879
    SCEL8_4_1_2_0_1_0/18          1         -0.04151355
    SCEL8_4_1_2_0_1_0/19          1         -0.03110091
    SCEL8_4_1_2_0_1_0/20          1         -0.01220665
    SCEL8_4_1_2_0_1_0/21          1         -0.00939895
    SCEL8_4_1_2_0_1_0/22          1         0.00308425
    SCEL8_4_1_2_0_1_0/23          1         -0.00026614
    SCEL8_4_1_2_0_1_2/0           1         -0.06852068
    SCEL8_4_1_2_0_1_2/1           1         -0.08831579
    SCEL8_4_1_2_0_1_2/2           1         -0.10253332
    SCEL8_4_1_2_0_1_2/3           1         -0.09211766
    SCEL8_4_1_2_0_1_2/4           1         -0.08631660
    SCEL8_4_1_2_0_1_2/5           1         -0.08696874
    SCEL8_4_1_2_0_1_2/6           1         -0.06201191
    SCEL8_4_1_2_0_1_2/7           1         -0.08359522
    SCEL8_4_1_2_0_1_2/8           1         -0.10130430
    SCEL8_4_1_2_0_1_2/9           1         -0.06001771
    SCEL8_4_1_2_0_1_2/10          1         -0.07245922
    SCEL8_4_1_2_0_1_2/11          1         -0.03304008
    SCEL8_4_1_2_0_1_2/12          1         -0.10675559
    SCEL8_4_1_2_0_1_2/13          1         -0.06790495
    SCEL8_4_1_2_0_1_2/14          1         -0.07413722
    SCEL8_4_1_2_0_1_2/15          1         -0.03681878
    SCEL8_4_1_2_0_1_2/16          1         -0.03768309
    SCEL8_4_1_2_0_1_2/17          1         -0.01048845
    SCEL8_4_1_2_0_1_2/18          1         -0.09250397
    SCEL8_4_1_2_0_1_2/19          1         -0.01800907
    SCEL8_4_1_2_0_1_2/20          1         -0.07083539
    SCEL8_4_1_2_0_1_2/21          1         -0.00722323
    SCEL8_4_1_2_0_1_2/22          1         -0.04113040
    SCEL8_4_1_2_0_1_2/23          1         -0.00740560
    SCEL8_4_2_1_0_0_2/0           1         -0.03678100
    SCEL8_4_2_1_0_0_2/1           1         -0.06309529
    SCEL8_4_2_1_0_0_2/2           1         -0.05735655
    SCEL8_4_2_1_0_0_2/3           1         -0.06265069
    SCEL8_4_2_1_0_0_2/4           1         -0.07631607
    SCEL8_4_2_1_0_0_2/5           1         -0.04797130
    SCEL8_4_2_1_0_0_2/6           1         -0.03198439
    SCEL8_4_2_1_0_0_2/7           1         -0.05396037
    SCEL8_4_2_1_0_0_2/8           1         -0.02741873
    SCEL8_4_2_1_0_0_2/9           1         -0.05196274
    SCEL8_4_2_1_0_0_2/10          1         -0.03410705
    SCEL8_4_2_1_0_0_2/11          1         -0.01305839
    SCEL8_4_2_1_0_0_2/12          1         -0.00361386
    SCEL8_4_2_1_0_0_2/13          1         -0.04043564
    SCEL8_4_2_1_0_0_2/14          1         -0.06090445
    SCEL8_4_2_1_0_0_2/15          1         -0.02948772
    SCEL8_4_2_1_1_2_0/0           1         -0.07133551
    SCEL8_4_2_1_1_2_0/1           1         -0.04815660
